idstock,stock_name,stock_idname,stock_awal,stock_order,stock_akhir,stock_date,stock_author,stock_status,stock_keterangan
371,"variant",77,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
372,"variant",97,2.0000000000000000e+02,1.0000000000000000e+03,2.1000000000000000e+04,"2007-03-28","admin",1,
373,"variant",78,4.0000000000000000e+02,1.0000000000000000e+03,4.1000000000000000e+04,"2007-03-28","admin",1,
374,"variant",156,2.0000000000000000e+02,1.0000000000000000e+03,2.1000000000000000e+04,"2007-03-28","admin",1,
375,"variant",79,2.0000000000000000e+02,1.0000000000000000e+03,2.1000000000000000e+04,"2007-03-28","admin",1,
376,"variant",152,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
377,"variant",80,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
378,"variant",153,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
379,"variant",105,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
380,"variant",82,9.0000000000000000e+02,1.0000000000000000e+03,9.1000000000000000e+04,"2007-03-28","admin",1,
381,"variant",83,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
382,"variant",85,6.0000000000000000e+02,1.0000000000000000e+03,6.1000000000000000e+04,"2007-03-28","admin",1,
383,"variant",86,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
384,"variant",87,3.0000000000000000e+02,1.0000000000000000e+03,3.1000000000000000e+04,"2007-03-28","admin",1,
