idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
62,"ICM","ICM WOMAN",2.0000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",5.4831000000000000e+04,"2007-03-28","admin"
70,"MGL","MGL WOMAN",2.5000000000000000e+03,1.9300000000000000e+02,"2007-05-10","OLLA",3.0976000000000000e+04,"2007-03-28","admin"
222,"DFS","DFS MAN",2.0000000000000000e+03,2.2900000000000000e+02,"2008-03-27","OLLA",0.0000000000000000e+00,"2008-03-27","OLLA"
403,"LIL","LIL WOMEN",2.5000000000000000e+03,4.1200000000000000e+02,"2015-12-24","OLLA",0.0000000000000000e+00,"2015-12-24","OLLA"
109,"ADM","ADM MAN",2.5000000000000000e+03,1.9580000000000001e+02,"2007-05-10","OLLA",4.3210099999999999e+04,"2007-03-28","admin"
149,"PGM","PGM MAN",2.5000000000000000e+03,2.2119999999999999e+02,"2007-05-10","OLLA",3.0916000000000000e+04,"2007-03-28","admin"
165,"CWG","CWG WOMAN",2.0000000000000000e+03,2.0000000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
166,"ETS","ETS WOMAN",2.0000000000000000e+03,2.1800000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
167,"EPH","EPH WOMAN",2.0000000000000000e+03,2.6450000000000000e+02,"2007-05-10","OLLA",2.8350000000000000e+02,"2007-05-02","admin"
168,"CRL","CRL WOMAN",2.5000000000000000e+03,5.5000000000000000e+00,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
169,"LVD","LVD U",2.5000000000000000e+03,1.9600000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-02","admin"
170,"PBL","PBL MAN",2.0000000000000000e+03,2.4450000000000000e+02,"2007-05-10","OLLA",2.8500000000000000e+02,"2007-05-02","admin"
171,"DVB","DVB MAN",2.5000000000000000e+03,1.5800000000000000e+02,"2007-05-10","OLLA",3.0000000000000000e+02,"2007-05-10","OLLA"
172,"LBQ","LBQ WOMAN",2.0000000000000000e+03,2.1100000000000000e+02,"2007-05-10","OLLA",2.9250000000000000e+02,"2007-05-02","admin"
173,"LVL","LVL WOMAN",2.5000000000000000e+03,3.9019999999999999e+02,"2007-05-10","OLLA",0.0000000000000000e+00,"2007-05-10","OLLA"
174,"PHM","PHM MAN",2.5000000000000000e+03,1.5140000000000001e+02,"2007-05-10","OLLA",0.0000000000000000e+00,"2007-05-10","OLLA"
175,"CWT","CWT WOMAN",2.5000000000000000e+03,3.0000000000000000e+02,"2007-06-17","OLLA",0.0000000000000000e+00,"2007-06-17","OLLA"
176,"MLG","MLG U",2.5000000000000000e+03,1.3100000000000000e+02,"2007-06-17","OLLA",0.0000000000000000e+00,"2007-06-17","OLLA"
223,"CSA","CSA MAN",2.5000000000000000e+03,2.4000000000000000e+02,"2008-03-29","OLLA",0.0000000000000000e+00,"2008-03-29","OLLA"
224,"OPM","OPM MAN",2.5000000000000000e+03,2.5480000000000001e+02,"2008-04-02","YUNI",0.0000000000000000e+00,"2008-04-02","YUNI"
225,"CVT","CVT WOMAN",2.0000000000000000e+03,2.2350000000000000e+02,"2008-04-02","YUNI",0.0000000000000000e+00,"2008-04-02","YUNI"
226,"CTW","CTW WOMAN",2.5000000000000000e+03,2.7519999999999999e+02,"2008-04-02","YUNI",0.0000000000000000e+00,"2008-04-02","YUNI"
227,"TRO","TRO WOMAN",2.0000000000000000e+03,2.3400000000000000e+02,"2008-04-02","YUNI",0.0000000000000000e+00,"2008-04-02","YUNI"
228,"TOX","TOX MAN",2.5000000000000000e+03,2.0600000000000000e+02,"2008-04-14","YUNI",0.0000000000000000e+00,"2008-04-14","YUNI"
229,"MBI","MBI MAN",3.0000000000000000e+03,1.9359999999999999e+02,"2008-05-03","YUNI",0.0000000000000000e+00,"2008-05-03","YUNI"
230,"EXP","EXP MAN",2.0000000000000000e+03,2.5200000000000000e+02,"2008-05-03","YUNI",0.0000000000000000e+00,"2008-05-03","YUNI"
231,"BCV","BCV WOMAN",2.5000000000000000e+03,4.1800000000000000e+02,"2008-05-04","YUNI",0.0000000000000000e+00,"2008-05-04","YUNI"
232,"MRC","MRC WOMAN",2.5000000000000000e+03,2.6450000000000000e+02,"2008-05-04","OLLA",0.0000000000000000e+00,"2008-05-04","OLLA"
409,"AQ-1","AQ-1 UNISEX",4.0000000000000000e+03,3.0250000000000000e+02,"2016-05-14","OLLA",0.0000000000000000e+00,"2016-05-14","OLLA"
177,"PBU","PBU MAN",2.5000000000000000e+03,2.7200000000000000e+02,"2007-06-19","OLLA",0.0000000000000000e+00,"2007-06-19","OLLA"
178,"H2O","H2O MAN",2.5000000000000000e+03,3.0000000000000000e+02,"2007-06-19","OLLA",0.0000000000000000e+00,"2007-06-19","OLLA"
179,"SWH","SWH WOMAN",2.5000000000000000e+03,4.3000000000000000e+02,"2007-06-19","OLLA",0.0000000000000000e+00,"2007-06-19","OLLA"
180,"DLG","DLG WOMAN",2.5000000000000000e+03,2.7600000000000000e+02,"2007-06-19","OLLA",0.0000000000000000e+00,"2007-06-19","OLLA"
181,"LLX","LLX WOMAN",2.5000000000000000e+03,2.8000000000000000e+02,"2007-07-18","YUNI",0.0000000000000000e+00,"2007-07-18","YUNI"
182,"HYP","HYP WOMAN",2.5000000000000000e+03,2.4000000000000000e+02,"2007-07-31","OLLA",0.0000000000000000e+00,"2007-07-31","OLLA"
183,"BED","BED MAN",2.5000000000000000e+03,2.7000000000000000e+02,"2007-08-06","OLLA",0.0000000000000000e+00,"2007-08-06","OLLA"
184,"HGR","HGR WOMAN",2.5000000000000000e+03,8.2500000000000000e+01,"2007-08-18","OLLA",0.0000000000000000e+00,"2007-08-18","OLLA"
185,"UVW","UVW WOMAN",2.5000000000000000e+03,2.0700000000000000e+02,"2007-08-21","OLLA",0.0000000000000000e+00,"2007-08-21","OLLA"
186,"ISM","ISM MAN",3.0000000000000000e+03,1.9300000000000000e+02,"2007-08-21","OLLA",0.0000000000000000e+00,"2007-08-21","OLLA"
187,"LGL","LGL WOMAN",2.0000000000000000e+03,1.4800000000000000e+02,"2007-08-21","OLLA",0.0000000000000000e+00,"2007-08-21","OLLA"
188,"SHW","SHW WOMAN",2.0000000000000000e+03,2.4300000000000000e+02,"2007-08-24","YUNI",0.0000000000000000e+00,"2007-08-24","YUNI"
189,"SHM","SHM MAN",2.0000000000000000e+03,1.6600000000000000e+02,"2007-08-24","YUNI",0.0000000000000000e+00,"2007-08-24","YUNI"
190,"CCW","CCW WOMAN",2.5000000000000000e+03,1.9200000000000000e+02,"2007-08-24","YUNI",0.0000000000000000e+00,"2007-08-24","YUNI"
191,"BRS","BRS WOMAN",2.5000000000000000e+03,1.6200000000000000e+02,"2007-08-24","YUNI",0.0000000000000000e+00,"2007-08-24","YUNI"
192,"AAM","AAM MAN",2.5000000000000000e+03,2.4850000000000000e+02,"2007-08-24","YUNI",0.0000000000000000e+00,"2007-08-24","YUNI"
193,"BPH","BPH MAN",2.0000000000000000e+03,2.3300000000000000e+02,"2007-09-04","OLLA",0.0000000000000000e+00,"2007-09-04","OLLA"
194,"BBW","BBW WOMAN",2.5000000000000000e+03,2.7900000000000000e+02,"2007-10-06","OLLA",0.0000000000000000e+00,"2007-10-06","OLLA"
195,"CDW","CDW WOMAN",2.0000000000000000e+03,2.5450000000000000e+02,"2007-10-06","OLLA",0.0000000000000000e+00,"2007-10-06","OLLA"
196,"HBF","HBF WOMAN",2.5000000000000000e+03,2.3320000000000002e+02,"2007-10-06","OLLA",0.0000000000000000e+00,"2007-10-06","OLLA"
197,"EMD","EMD WOMAN",2.5000000000000000e+03,2.4500000000000000e+02,"2007-10-06","OLLA",0.0000000000000000e+00,"2007-10-06","OLLA"
198,"PDS","PDS WOMAN",2.5000000000000000e+03,2.5480000000000001e+02,"2007-10-25","OLLA",0.0000000000000000e+00,"2007-10-25","OLLA"
199,"CKE","CKE U",2.0000000000000000e+03,2.0800000000000000e+02,"2007-10-25","OLLA",0.0000000000000000e+00,"2007-10-25","OLLA"
200,"PST","PST MAN",2.0000000000000000e+03,2.7900000000000000e+02,"2007-11-25","OLLA",0.0000000000000000e+00,"2007-11-25","OLLA"
201,"BXSW","BXSW WOMAN",2.0000000000000000e+03,2.4600000000000000e+02,"2007-12-13","YUNI",0.0000000000000000e+00,"2007-12-13","YUNI"
202,"LBM","LB MAN",2.0000000000000000e+03,2.5500000000000000e+02,"2007-12-13","YUNI",0.0000000000000000e+00,"2007-12-13","YUNI"
203,"FMC","FMC WOMAN",2.5000000000000000e+03,2.2700000000000000e+02,"2007-12-13","YUNI",0.0000000000000000e+00,"2007-12-13","YUNI"
204,"STG","STG WOMAN",2.0000000000000000e+03,1.7600000000000000e+02,"2007-12-13","YUNI",0.0000000000000000e+00,"2007-12-13","YUNI"
205,"PWL","PWL WOMAN",2.0000000000000000e+03,1.2050000000000000e+02,"2007-12-13","YUNI",0.0000000000000000e+00,"2007-12-13","YUNI"
206,"TVW","TVW WOMAN",3.0000000000000000e+03,2.4700000000000000e+02,"2007-12-15","YUNI",0.0000000000000000e+00,"2007-12-15","YUNI"
207,"MCW","MCW WOMAN",3.0000000000000000e+03,2.0009999999999997e+02,"2008-01-21","YUNI",0.0000000000000000e+00,"2008-01-21","YUNI"
